destination,month,duration_days,group_size,pace,total_budget_inr
Delhi,8,9,8,Budget,78082.94309756515
Himachal Pradesh,6,12,4,Budget,119267.12037265833
Agra,8,12,8,Budget,95097.06938377548
Uttarakhand,7,10,7,Budget,79504.76951754309
Delhi,2,8,8,Moderate,143869.65295700319
Tamil Nadu,6,12,1,Luxury,101645.26457059778
Rajasthan,9,8,3,Budget,33041.059038556035
Delhi,12,11,6,Budget,91149.01463246718
Agra,6,2,1,Luxury,16323.074721692265
Uttarakhand,4,1,4,Moderate,9555.71690834877
Himachal Pradesh,7,9,9,Luxury,488652.83374624216
Agra,3,10,7,Luxury,459110.6257688915
Agra,5,12,1,Budget,15939.074785357538
Rajasthan,1,4,6,Luxury,280526.04105209094
Maharashtra,10,9,6,Luxury,443419.44859813125
Uttarakhand,3,11,2,Moderate,62253.383063116584
Kerala,8,14,6,Budget,142040.40314140142
Agra,9,12,2,Budget,29388.130012883103
Maharashtra,9,11,8,Budget,133704.19445503762
Kerala,10,7,7,Moderate,147885.517045819
Uttarakhand,2,12,6,Moderate,194620.29176422648
Goa,4,6,6,Moderate,131956.4690626618
Tamil Nadu,5,10,9,Moderate,195637.5307504105
Maharashtra,3,13,9,Budget,130071.19630765103
Karnataka,11,9,2,Budget,41783.40106379217
Goa,1,10,3,Luxury,542997.2727728433
Tamil Nadu,6,4,7,Moderate,61800.04042573397
Rajasthan,10,14,9,Luxury,711369.7533442616
Delhi,2,1,6,Moderate,13390.664182720879
Himachal Pradesh,9,5,1,Luxury,59438.95765458472
Karnataka,1,13,7,Budget,151002.80741180593
Rajasthan,11,6,1,Budget,15221.219317899733
Uttarakhand,9,6,5,Moderate,69064.1902929557
Rajasthan,7,12,9,Budget,101308.12966589234
Delhi,11,1,9,Moderate,20422.68985879871
Uttarakhand,10,7,1,Luxury,58253.159458805305
Karnataka,2,8,6,Moderate,127591.53126445574
Delhi,6,12,3,Luxury,352055.4317145653
Kerala,8,5,9,Luxury,318858.8214442824
Himachal Pradesh,2,2,3,Moderate,18214.461735045697
Karnataka,5,2,2,Budget,7696.759328924745
Kerala,12,11,8,Luxury,963825.9252545625
Tamil Nadu,11,5,3,Budget,27553.390059193483
Karnataka,6,7,5,Luxury,287087.5608650884
Tamil Nadu,3,7,6,Luxury,320736.828689421
Uttarakhand,12,13,1,Luxury,155308.1058741142
Kerala,2,4,7,Luxury,246172.0706308159
Himachal Pradesh,11,11,7,Moderate,209315.64098837352
Delhi,6,14,5,Luxury,591403.2764610007
Agra,3,3,9,Budget,22237.574674971085
Rajasthan,2,9,2,Budget,30186.771985809013
Goa,1,12,5,Moderate,362598.5611359032
Himachal Pradesh,8,14,2,Luxury,269149.61417431576
Kerala,1,14,2,Moderate,169354.41269054802
Agra,12,7,9,Budget,60155.101193534116
Himachal Pradesh,5,2,7,Luxury,148813.8057653878
Kerala,11,1,4,Budget,10762.522307057625
Maharashtra,6,11,8,Moderate,244580.97351365729
Maharashtra,11,2,4,Moderate,36104.83542382808
Tamil Nadu,12,13,1,Budget,29318.050390747892
Himachal Pradesh,12,12,3,Luxury,589955.1614576097
Maharashtra,3,3,1,Luxury,42504.613398971276
Kerala,7,5,2,Budget,18970.53166500517
Tamil Nadu,2,14,2,Budget,41796.99571046388
Kerala,7,3,7,Luxury,164736.0249857986
Tamil Nadu,2,10,4,Budget,57373.8501742329
Himachal Pradesh,5,9,9,Moderate,254951.33219103806
Agra,7,10,2,Luxury,196369.11672180195
Delhi,11,4,9,Luxury,275064.6460529084
Karnataka,11,7,6,Moderate,132684.5218119677
Agra,3,4,8,Budget,32472.567301913987
Uttarakhand,11,3,7,Luxury,121802.82465752553
Kerala,4,10,8,Luxury,551139.2369716724
Uttarakhand,1,1,9,Luxury,54385.286583006506
Agra,3,14,8,Budget,96860.64055206897
Tamil Nadu,9,12,6,Luxury,575562.8308491397
Karnataka,10,9,8,Budget,75201.00500425643
Karnataka,5,13,8,Moderate,257165.09921499412
Goa,8,11,2,Budget,49542.93567169297
Karnataka,2,1,2,Budget,3809.8324188787087
Delhi,3,11,1,Moderate,42954.82302930194
Karnataka,7,13,2,Budget,43121.040320158325
Agra,10,1,7,Moderate,15666.515248371406
Goa,4,1,3,Luxury,31865.27853919363
Agra,9,14,4,Moderate,156928.4044915302
Agra,7,5,4,Moderate,56970.50408027621
Rajasthan,11,7,4,Luxury,402812.80614835053
Goa,12,7,2,Luxury,251656.96585473814
Agra,1,10,6,Budget,70364.94802748485
Rajasthan,4,1,1,Budget,1708.842967212413
Rajasthan,10,6,5,Budget,39110.00876766278
Goa,11,9,2,Luxury,349411.3513179389
Uttarakhand,6,6,9,Luxury,421590.3821341462
Tamil Nadu,6,4,2,Luxury,67023.55543883237
Delhi,10,10,6,Budget,86704.15763310487
Tamil Nadu,6,9,4,Luxury,336081.6517999461
Karnataka,5,13,6,Luxury,710352.2580193508
Delhi,3,3,2,Moderate,18216.48677604524
Karnataka,2,13,2,Moderate,89429.47858466394
Agra,3,10,7,Luxury,397534.9513238912
Kerala,9,4,3,Budget,22670.525020753183
Goa,3,4,3,Moderate,53046.606103308724
Delhi,3,4,7,Luxury,210834.02827499568
Delhi,1,6,8,Moderate,132852.66836226228
Agra,2,13,7,Moderate,203424.7382191689
Uttarakhand,11,11,3,Budget,42010.877105629705
Rajasthan,12,11,3,Luxury,432363.0766267017
Agra,3,7,7,Luxury,291444.7900540955
Maharashtra,2,14,3,Budget,80154.09155389831
Rajasthan,8,9,2,Budget,34198.53173290384
Goa,6,14,7,Budget,171159.29104960596
Rajasthan,7,11,3,Luxury,288184.80446993274
Uttarakhand,1,3,5,Moderate,35323.983214160864
Rajasthan,6,8,7,Luxury,403653.82928148675
Goa,2,8,2,Luxury,234419.3058243993
Uttarakhand,6,1,8,Budget,10433.534579416515
Tamil Nadu,3,5,2,Budget,17823.77460070687
Delhi,7,13,4,Budget,70166.17521427764
Delhi,3,10,4,Luxury,398387.2503836713
Karnataka,9,5,8,Budget,52866.04043668776
Tamil Nadu,3,12,1,Budget,22070.984873147067
Tamil Nadu,7,8,9,Moderate,159314.9516646384
Rajasthan,12,8,6,Moderate,173018.3211943341
Delhi,4,12,4,Budget,77369.79066661774
Goa,8,2,6,Moderate,42712.170069374595
Himachal Pradesh,2,3,6,Luxury,171394.79562536915
Himachal Pradesh,8,2,9,Moderate,40920.73528703856
Uttarakhand,9,1,4,Budget,5298.75603833792
Delhi,8,2,8,Luxury,116611.05368826189
Delhi,6,10,1,Luxury,97750.07507159015
Himachal Pradesh,10,6,6,Moderate,112451.29029041644
Delhi,1,12,5,Budget,94328.0214966229
Rajasthan,7,1,3,Budget,4077.5050255469296
Maharashtra,1,6,4,Moderate,104403.84605579839
Kerala,7,1,8,Moderate,22896.47496885305
Tamil Nadu,2,2,2,Moderate,13256.545392479862
Karnataka,8,8,8,Budget,88256.7790457798
Uttarakhand,2,14,7,Moderate,195859.83391514354
Maharashtra,3,6,1,Moderate,24024.92178009246
Himachal Pradesh,12,9,2,Moderate,87695.45256072503
Tamil Nadu,3,1,7,Budget,7013.2917720588985
Delhi,1,5,3,Luxury,146779.5275030736
Karnataka,5,7,2,Budget,21131.59893918035
Delhi,5,9,1,Budget,15319.45511309913
Goa,10,14,7,Luxury,1021884.9184921306
Goa,5,11,3,Budget,71027.82868338021
Karnataka,9,9,6,Luxury,442370.2474010877
Karnataka,6,4,8,Luxury,214534.8721787759
Himachal Pradesh,6,13,6,Luxury,797972.1364378758
Karnataka,3,4,7,Luxury,196372.68911194243
Rajasthan,5,4,6,Budget,30433.936461367688
Delhi,10,3,7,Luxury,148351.52673082156
Maharashtra,7,8,5,Moderate,124697.44607292284
Agra,3,5,9,Luxury,279240.7220375027
Karnataka,2,7,3,Luxury,206478.26965312968
Uttarakhand,5,10,6,Budget,93779.23990788794
Goa,3,6,9,Moderate,141735.03149704734
Rajasthan,5,14,1,Luxury,137272.1257730496
Tamil Nadu,9,9,5,Moderate,113528.59379369978
Agra,11,14,4,Luxury,456381.01041119493
Maharashtra,10,3,9,Budget,28925.644659190657
Agra,1,6,1,Moderate,21545.726011530045
Karnataka,4,3,4,Moderate,37617.067162577
Himachal Pradesh,10,2,1,Budget,3408.9363807146365
Goa,5,3,3,Budget,20043.92590792677
Goa,2,2,4,Budget,13885.387688546434
Tamil Nadu,12,2,1,Budget,4280.985201876504
Himachal Pradesh,2,10,5,Moderate,137876.3360206658
Delhi,1,11,6,Budget,97128.69732647322
Kerala,8,7,1,Moderate,26067.048793794558
Rajasthan,2,10,4,Luxury,328038.94214514893
Goa,3,3,4,Luxury,156395.8315272442
Uttarakhand,12,8,1,Budget,16648.368291093087
Goa,2,13,2,Budget,55324.32378737868
Agra,4,2,5,Moderate,25693.252588635514
Goa,1,11,2,Moderate,133420.280242723
Goa,3,11,3,Luxury,342214.9231414067
Kerala,5,7,9,Moderate,163070.28491175067
Kerala,10,3,5,Budget,22445.03313034198
Maharashtra,1,9,1,Luxury,151314.7784000833
Delhi,4,7,5,Luxury,293219.7353333207
Uttarakhand,6,9,3,Budget,56463.54575579405
Goa,4,2,1,Moderate,10217.591813008354
Goa,7,6,3,Budget,40495.52059221376
Rajasthan,7,5,6,Moderate,85663.58662531478
Kerala,6,14,5,Luxury,678195.3243083034
Uttarakhand,9,2,1,Budget,2882.518201617764
Tamil Nadu,2,4,2,Luxury,82938.09000689407
Maharashtra,10,4,5,Luxury,177041.9181105743
Delhi,8,8,9,Budget,84387.56299296863
Himachal Pradesh,8,13,5,Luxury,640151.0384319728
Delhi,11,7,5,Moderate,128305.89354218946
Agra,10,13,1,Budget,18781.601982402193
Goa,11,5,5,Moderate,118190.95588198719
Maharashtra,4,9,8,Moderate,209943.0421029302
Agra,6,1,9,Moderate,18523.403241434135
Uttarakhand,11,4,3,Budget,19137.985207506958
Himachal Pradesh,6,5,4,Moderate,99702.54514557793
Kerala,5,8,7,Budget,81511.85055475828
Maharashtra,1,3,7,Moderate,65559.01208123422
Maharashtra,3,14,1,Budget,32604.0985867378
Goa,7,12,6,Moderate,222736.60105051985
Karnataka,8,5,9,Luxury,278525.83394576446
Maharashtra,2,3,5,Moderate,54268.572435047674
Rajasthan,3,13,8,Luxury,755987.973489979
Himachal Pradesh,4,7,9,Luxury,375662.609327569
Himachal Pradesh,11,10,3,Moderate,94965.29796709433
Rajasthan,5,3,1,Moderate,11500.710023880423
Tamil Nadu,3,7,2,Luxury,149428.97983880056
Rajasthan,5,14,5,Budget,91129.54634669963
Rajasthan,8,2,7,Moderate,36982.08991978972
Himachal Pradesh,8,7,6,Luxury,359707.1147935979
Delhi,2,9,4,Budget,51623.183650835665
Himachal Pradesh,6,12,9,Moderate,385909.6070258909
Karnataka,4,5,4,Budget,31904.799616615684
Goa,9,12,3,Luxury,462562.8275086124
Agra,10,6,5,Moderate,73996.8205782983
Delhi,2,13,4,Budget,80681.79127820244
Kerala,8,10,2,Moderate,76394.04080803452
Agra,1,11,3,Budget,53996.345164537444
Goa,11,3,7,Budget,54854.10520779387
Karnataka,6,13,2,Moderate,85979.48343187274
Karnataka,11,10,1,Moderate,47548.55638345252
Kerala,11,5,2,Moderate,53042.63854988776
Delhi,12,13,8,Luxury,742069.4397387462
Tamil Nadu,10,5,8,Moderate,96179.31030245114
Rajasthan,1,3,2,Budget,14561.482100843565
Delhi,2,8,6,Moderate,132924.42032202077
Tamil Nadu,3,6,7,Luxury,313578.1623360873
Karnataka,9,13,1,Luxury,157157.5710400422
Himachal Pradesh,5,3,7,Moderate,71783.20475407175
Goa,10,1,8,Budget,12246.41357017111
Kerala,10,10,9,Luxury,698591.4409435048
Goa,12,1,8,Budget,15548.176302487693
Uttarakhand,2,13,3,Luxury,300700.18578810885
Uttarakhand,10,11,8,Luxury,526699.5346525463
Delhi,5,10,3,Budget,44438.67115175957
Karnataka,5,12,6,Budget,108808.11657472365
Karnataka,1,2,4,Luxury,94453.52561674606
